x,Sol210
0,58.481
4e-06,58.4779
8e-06,58.4749
1.2e-05,58.4718
1.6e-05,58.4688
2e-05,58.4657
2.4e-05,58.4627
2.8e-05,58.4596
3.2e-05,58.4566
3.6e-05,58.4535
4e-05,58.4505
4.4e-05,58.4474
4.8e-05,58.4444
5.2e-05,58.4413
5.6e-05,58.4383
6e-05,58.4353
6.4e-05,58.4322
6.8e-05,58.4292
7.2e-05,58.4261
7.6e-05,58.4231
8e-05,58.42
8.4e-05,58.417
8.8e-05,58.414
9.2e-05,58.4109
9.6e-05,58.4079
0.0001,58.4048
0.000104,58.4018
0.000108,58.3988
0.000112,58.3957
0.000116,58.3927
0.00012,58.3896
0.000124,58.3866
0.000128,58.3836
0.000132,58.3805
0.000136,58.3775
0.00014,58.3744
0.000144,58.3714
0.000148,58.3684
0.000152,58.3653
0.000156,58.3623
0.00016,58.3593
0.000164,58.3562
0.000168,58.3532
0.000172,58.3502
0.000176,58.3471
0.00018,58.3441
0.000184,58.3411
0.000188,58.338
0.000192,58.335
0.000196,58.332
0.0002,58.329
0.000204,58.3259
0.000208,58.3229
0.000212,58.3199
0.000216,58.3168
0.00022,58.3138
0.000224,58.3108
0.000228,58.3077
0.000232,58.3047
0.000236,58.3017
0.00024,58.2987
0.000244,58.2956
0.000248,58.2926
0.000252,58.2896
0.000256,58.2866
0.00026,58.2835
0.000264,58.2805
0.000268,58.2775
0.000272,58.2745
0.000276,58.2714
0.00028,58.2684
0.000284,58.2654
0.000288,58.2624
0.000292,58.2594
0.000296,58.2563
0.0003,58.2533
0.000304,58.2503
0.000308,58.2473
0.000312,58.2443
0.000316,58.2412
0.00032,58.2382
0.000324,58.2352
0.000328,58.2322
0.000332,58.2292
0.000336,58.2262
0.00034,58.2231
0.000344,58.2201
0.000348,58.2171
0.000352,58.2141
0.000356,58.2111
0.00036,58.2081
0.000364,58.2051
0.000368,58.202
0.000372,58.199
0.000376,58.196
0.00038,58.193
0.000384,58.19
0.000388,58.187
0.000392,58.184
0.000396,58.181
0.0004,58.1779
0.000404,58.1749
0.000408,58.1719
0.000412,58.1689
0.000416,58.1659
0.00042,58.1629
0.000424,58.1599
0.000428,58.1569
0.000432,58.1539
0.000436,58.1509
0.00044,58.1479
0.000444,58.1449
0.000448,58.1419
0.000452,58.1388
0.000456,58.1358
0.00046,58.1328
0.000464,58.1298
0.000468,58.1268
0.000472,58.1238
0.000476,58.1208
0.00048,58.1178
0.000484,58.1148
0.000488,58.1118
0.000492,58.1088
0.000496,58.1058
0.0005,58.1028
0.000504,58.0998
0.000508,58.0968
0.000512,58.0938
0.000516,58.0908
0.00052,58.0878
0.000524,58.0848
0.000528,58.0818
0.000532,58.0788
0.000536,58.0758
0.00054,58.0728
0.000544,58.0698
0.000548,58.0668
0.000552,58.0639
0.000556,58.0609
0.00056,58.0579
0.000564,58.0549
0.000568,58.0519
0.000572,58.0489
0.000576,58.0459
0.00058,58.0429
0.000584,58.0399
0.000588,58.0369
0.000592,58.0339
0.000596,58.0309
0.0006,58.0279
0.000604,58.025
0.000608,58.022
0.000612,58.019
0.000616,58.016
0.00062,58.013
0.000624,58.01
0.000628,58.007
0.000632,58.004
0.000636,58.0011
0.00064,57.9981
0.000644,57.9951
0.000648,57.9921
0.000652,57.9891
0.000656,57.9861
0.00066,57.9831
0.000664,57.9802
0.000668,57.9772
0.000672,57.9742
0.000676,57.9712
0.00068,57.9682
0.000684,57.9652
0.000688,57.9623
0.000692,57.9593
0.000696,57.9563
0.0007,57.9533
0.000704,57.9503
0.000708,57.9474
0.000712,57.9444
0.000716,57.9414
0.00072,57.9384
0.000724,57.9355
0.000728,57.9325
0.000732,57.9295
0.000736,57.9265
0.00074,57.9235
0.000744,57.9206
0.000748,57.9176
0.000752,57.9146
0.000756,57.9116
0.00076,57.9087
0.000764,57.9057
0.000768,57.9027
0.000772,57.8997
0.000776,57.8968
0.00078,57.8938
0.000784,57.8908
0.000788,57.8879
0.000792,57.8849
0.000796,57.8819
0.0008,57.8789
0.000804,57.876
0.000808,57.873
0.000812,57.87
0.000816,57.8671
0.00082,57.8641
0.000824,57.8611
0.000828,57.8582
0.000832,57.8552
0.000836,57.8522
0.00084,57.8493
0.000844,57.8463
0.000848,57.8433
0.000852,57.8404
0.000856,57.8374
0.00086,57.8344
0.000864,57.8315
0.000868,57.8285
0.000872,57.8256
0.000876,57.8226
0.00088,57.8196
0.000884,57.8167
0.000888,57.8137
0.000892,57.8107
0.000896,57.8078
0.0009,57.8048
0.000904,57.8019
0.000908,57.7989
0.000912,57.7959
0.000916,57.793
0.00092,57.79
0.000924,57.7871
0.000928,57.7841
0.000932,57.7812
0.000936,57.7782
0.00094,57.7752
0.000944,57.7723
0.000948,57.7693
0.000952,57.7664
0.000956,57.7634
0.00096,57.7605
0.000964,57.7575
0.000968,57.7546
0.000972,57.7516
0.000976,57.7487
0.00098,57.7457
0.000984,57.7428
0.000988,57.7398
0.000992,57.7369
0.000996,57.7339
0.001,57.7309
0.001004,57.728
0.001008,57.7251
0.001012,57.7221
0.001016,57.7192
0.00102,57.7162
0.001024,57.7133
0.001028,57.7103
0.001032,57.7074
0.001036,57.7044
0.00104,57.7015
0.001044,57.6985
0.001048,57.6956
0.001052,57.6926
0.001056,57.6897
0.00106,57.6867
0.001064,57.6838
0.001068,57.6809
0.001072,57.6779
0.001076,57.675
0.00108,57.672
0.001084,57.6691
0.001088,57.6661
0.001092,57.6632
0.001096,57.6603
0.0011,57.6573
0.001104,57.6544
0.001108,57.6514
0.001112,57.6485
0.001116,57.6456
0.00112,57.6426
0.001124,57.6397
0.001128,57.6368
0.001132,57.6338
0.001136,57.6309
0.00114,57.6279
0.001144,57.625
0.001148,57.6221
0.001152,57.6191
0.001156,57.6162
0.00116,57.6133
0.001164,57.6103
0.001168,57.6074
0.001172,57.6045
0.001176,57.6015
0.00118,57.5986
0.001184,57.5957
0.001188,57.5927
0.001192,57.5898
0.001196,57.5869
0.0012,57.5839
0.001204,57.581
0.001208,57.5781
0.001212,57.5752
0.001216,57.5722
0.00122,57.5693
0.001224,57.5664
0.001228,57.5634
0.001232,57.5605
0.001236,57.5576
0.00124,57.5547
0.001244,57.5517
0.001248,57.5488
0.001252,57.5459
0.001256,57.543
0.00126,57.54
0.001264,57.5371
0.001268,57.5342
0.001272,57.5313
0.001276,57.5283
0.00128,57.5254
0.001284,57.5225
0.001288,57.5196
0.001292,57.5167
0.001296,57.5137
0.0013,57.5108
0.001304,57.5079
0.001308,57.505
0.001312,57.5021
0.001316,57.4991
0.00132,57.4962
0.001324,57.4933
0.001328,57.4904
0.001332,57.4875
0.001336,57.4845
0.00134,57.4816
0.001344,57.4787
0.001348,57.4758
0.001352,57.4729
0.001356,57.47
0.00136,57.4671
0.001364,57.4641
0.001368,57.4612
0.001372,57.4583
0.001376,57.4554
0.00138,57.4525
0.001384,57.4496
0.001388,57.4467
0.001392,57.4438
0.001396,57.4408
0.0014,57.4379
0.001404,57.435
0.001408,57.4321
0.001412,57.4292
0.001416,57.4263
0.00142,57.4234
0.001424,57.4205
0.001428,57.4176
0.001432,57.4147
0.001436,57.4118
0.00144,57.4088
0.001444,57.4059
0.001448,57.403
0.001452,57.4001
0.001456,57.3972
0.00146,57.3943
0.001464,57.3914
0.001468,57.3885
0.001472,57.3856
0.001476,57.3827
0.00148,57.3798
0.001484,57.3769
0.001488,57.374
0.001492,57.3711
0.001496,57.3682
0.0015,57.3653
0.001504,57.3624
0.001508,57.3595
0.001512,57.3566
0.001516,57.3537
0.00152,57.3508
0.001524,57.3479
0.001528,57.345
0.001532,57.3421
0.001536,57.3392
0.00154,57.3363
0.001544,57.3334
0.001548,57.3305
0.001552,57.3276
0.001556,57.3247
0.00156,57.3218
0.001564,57.3189
0.001568,57.316
0.001572,57.3131
0.001576,57.3103
0.00158,57.3074
0.001584,57.3045
0.001588,57.3016
0.001592,57.2987
0.001596,57.2958
0.0016,57.2929
0.001604,57.29
0.001608,57.2871
0.001612,57.2842
0.001616,57.2813
0.00162,57.2785
0.001624,57.2756
0.001628,57.2727
0.001632,57.2698
0.001636,57.2669
0.00164,57.264
0.001644,57.2611
0.001648,57.2582
0.001652,57.2554
0.001656,57.2525
0.00166,57.2496
0.001664,57.2467
0.001668,57.2438
0.001672,57.2409
0.001676,57.238
0.00168,57.2352
0.001684,57.2323
0.001688,57.2294
0.001692,57.2265
0.001696,57.2236
0.0017,57.2208
0.001704,57.2179
0.001708,57.215
0.001712,57.2121
0.001716,57.2092
0.00172,57.2064
0.001724,57.2035
0.001728,57.2006
0.001732,57.1977
0.001736,57.1948
0.00174,57.192
0.001744,57.1891
0.001748,57.1862
0.001752,57.1833
0.001756,57.1805
0.00176,57.1776
0.001764,57.1747
0.001768,57.1718
0.001772,57.169
0.001776,57.1661
0.00178,57.1632
0.001784,57.1603
0.001788,57.1575
0.001792,57.1546
0.001796,57.1517
0.0018,57.1489
0.001804,57.146
0.001808,57.1431
0.001812,57.1402
0.001816,57.1374
0.00182,57.1345
0.001824,57.1316
0.001828,57.1288
0.001832,57.1259
0.001836,57.123
0.00184,57.1202
0.001844,57.1173
0.001848,57.1144
0.001852,57.1116
0.001856,57.1087
0.00186,57.1058
0.001864,57.103
0.001868,57.1001
0.001872,57.0972
0.001876,57.0944
0.00188,57.0915
0.001884,57.0886
0.001888,57.0858
0.001892,57.0829
0.001896,57.0801
0.0019,57.0772
0.001904,57.0743
0.001908,57.0715
0.001912,57.0686
0.001916,57.0658
0.00192,57.0629
0.001924,57.06
0.001928,57.0572
0.001932,57.0543
0.001936,57.0515
0.00194,57.0486
0.001944,57.0457
0.001948,57.0429
0.001952,57.04
0.001956,57.0372
0.00196,57.0343
0.001964,57.0315
0.001968,57.0286
0.001972,57.0258
0.001976,57.0229
0.00198,57.02
0.001984,57.0172
0.001988,57.0143
0.001992,57.0115
0.001996,57.0086
0.002,57.0058
0.002004,57.0029
0.002008,57.0001
0.002012,56.9972
0.002016,56.9944
0.00202,56.9915
0.002024,56.9887
0.002028,56.9858
0.002032,56.983
0.002036,56.9801
0.00204,56.9773
0.002044,56.9744
0.002048,56.9716
0.002052,56.9687
0.002056,56.9659
0.00206,56.9631
0.002064,56.9602
0.002068,56.9574
0.002072,56.9545
0.002076,56.9517
0.00208,56.9488
0.002084,56.946
0.002088,56.9431
0.002092,56.9403
0.002096,56.9375
0.0021,56.9346
0.002104,56.9318
0.002108,56.9289
0.002112,56.9261
0.002116,56.9233
0.00212,56.9204
0.002124,56.9176
0.002128,56.9147
0.002132,56.9119
0.002136,56.9091
0.00214,56.9062
0.002144,56.9034
0.002148,56.9005
0.002152,56.8977
0.002156,56.8949
0.00216,56.892
0.002164,56.8892
0.002168,56.8864
0.002172,56.8835
0.002176,56.8807
0.00218,56.8779
0.002184,56.875
0.002188,56.8722
0.002192,56.8694
0.002196,56.8665
0.0022,56.8637
0.002204,56.8609
0.002208,56.858
0.002212,56.8552
0.002216,56.8524
0.00222,56.8495
0.002224,56.8467
0.002228,56.8439
0.002232,56.841
0.002236,56.8382
0.00224,56.8354
0.002244,56.8326
0.002248,56.8297
0.002252,56.8269
0.002256,56.8241
0.00226,56.8213
0.002264,56.8184
0.002268,56.8156
0.002272,56.8128
0.002276,56.8099
0.00228,56.8071
0.002284,56.8043
0.002288,56.8015
0.002292,56.7987
0.002296,56.7958
0.0023,56.793
0.002304,56.7902
0.002308,56.7874
0.002312,56.7845
0.002316,56.7817
0.00232,56.7789
0.002324,56.7761
0.002328,56.7733
0.002332,56.7704
0.002336,56.7676
0.00234,56.7648
0.002344,56.762
0.002348,56.7592
0.002352,56.7563
0.002356,56.7535
0.00236,56.7507
0.002364,56.7479
0.002368,56.7451
0.002372,56.7423
0.002376,56.7395
0.00238,56.7366
0.002384,56.7338
0.002388,56.731
0.002392,56.7282
0.002396,56.7254
0.0024,56.7226
0.002404,56.7198
0.002408,56.7169
0.002412,56.7141
0.002416,56.7113
0.00242,56.7085
0.002424,56.7057
0.002428,56.7029
0.002432,56.7001
0.002436,56.6973
0.00244,56.6945
0.002444,56.6917
0.002448,56.6888
0.002452,56.686
0.002456,56.6832
0.00246,56.6804
0.002464,56.6776
0.002468,56.6748
0.002472,56.672
0.002476,56.6692
0.00248,56.6664
0.002484,56.6636
0.002488,56.6608
0.002492,56.658
0.002496,56.6552
0.0025,56.6524
0.002504,56.6496
0.002508,56.6468
0.002512,56.644
0.002516,56.6412
0.00252,56.6384
0.002524,56.6356
0.002528,56.6328
0.002532,56.63
0.002536,56.6272
0.00254,56.6244
0.002544,56.6216
0.002548,56.6188
0.002552,56.616
0.002556,56.6132
0.00256,56.6104
0.002564,56.6076
0.002568,56.6048
0.002572,56.602
0.002576,56.5992
0.00258,56.5964
0.002584,56.5936
0.002588,56.5908
0.002592,56.588
0.002596,56.5852
0.0026,56.5824
0.002604,56.5796
0.002608,56.5768
0.002612,56.574
0.002616,56.5712
0.00262,56.5684
0.002624,56.5657
0.002628,56.5629
0.002632,56.5601
0.002636,56.5573
0.00264,56.5545
0.002644,56.5517
0.002648,56.5489
0.002652,56.5461
0.002656,56.5433
0.00266,56.5406
0.002664,56.5378
0.002668,56.535
0.002672,56.5322
0.002676,56.5294
0.00268,56.5266
0.002684,56.5238
0.002688,56.521
0.002692,56.5183
0.002696,56.5155
0.0027,56.5127
0.002704,56.5099
0.002708,56.5071
0.002712,56.5043
0.002716,56.5016
0.00272,56.4988
0.002724,56.496
0.002728,56.4932
0.002732,56.4904
0.002736,56.4877
0.00274,56.4849
0.002744,56.4821
0.002748,56.4793
0.002752,56.4765
0.002756,56.4738
0.00276,56.471
0.002764,56.4682
0.002768,56.4654
0.002772,56.4626
