x,SolX0,SolXM_2,SolXM
0,20,20,20
0.5,24.2892,20.1226,20.0077
1,26.3886,20.3964,20.0358
1.5,27.9305,20.7845,20.0989
2,29.1891,21.2417,20.2066
2.5,30.2681,21.7351,20.3623
3,31.2201,22.2441,20.5647
3.5,32.0765,22.757,20.8091
4,32.8576,23.2672,21.0898
4.5,33.5778,23.7712,21.4003
5,34.2478,24.2672,21.7347
5.5,34.8756,24.7541,22.0877
6,35.4677,25.2317,22.4546
6.5,36.029,25.6997,22.8315
7,36.5637,26.1582,23.215
7.5,37.075,26.6073,23.6026
8,37.5657,27.047,23.9918
8.5,38.038,27.4777,24.3811
9,38.4939,27.8994,24.7688
9.5,38.9348,28.3124,25.154
10,39.362,28.7167,25.5355
10.5,39.7767,29.1127,25.9128
11,40.1798,29.5004,26.2852
11.5,40.572,29.88,26.6523
12,40.954,30.2517,27.0137
12.5,41.3265,30.6157,27.3693
13,41.6898,30.9721,27.7188
13.5,42.0445,31.3211,28.0622
14,42.3908,31.6628,28.3993
14.5,42.7293,31.9974,28.7301
15,43.06,32.325,29.0546
15.5,43.3834,32.6458,29.3729
16,43.6996,32.96,29.685
16.5,44.009,33.2676,29.9909
17,44.3116,33.5687,30.2907
17.5,44.6076,33.8637,30.5845
18,44.8974,34.1524,30.8723
18.5,45.1809,34.4352,31.1543
19,45.4584,34.712,31.4306
19.5,45.7301,34.9831,31.7012
20,45.996,35.2486,31.9662
20.5,46.2563,35.5085,32.2258
21,46.5111,35.7631,32.4801
21.5,46.7605,36.0123,32.7291
22,47.0048,36.2563,32.9729
22.5,47.2439,36.4952,33.2117
23,47.478,36.7292,33.4456
23.5,47.7072,36.9583,33.6746
24,47.9316,37.1826,33.8988
24.5,48.1514,37.4023,34.1184
25,48.3665,37.6174,34.3335
25.5,48.5772,37.828,34.544
26,48.7835,38.0342,34.7502
26.5,48.9854,38.2361,34.9521
27,49.1832,38.4338,35.1498
27.5,49.3768,38.6274,35.3434
28,49.5664,38.817,35.533
28.5,49.7521,39.0026,35.7186
29,49.9339,39.1844,35.9004
29.5,50.1118,39.3624,36.0783
30,50.2861,39.5366,36.2526
30.5,46.1682,39.5847,36.4163
31,44.2363,39.4781,36.5555
31.5,42.8582,39.2537,36.6563
32,41.7601,38.9568,36.7091
32.5,40.8382,38.6205,36.7104
33,40.04,38.2652,36.6618
33.5,39.3342,37.9029,36.568
34,38.7006,37.5401,36.4348
34.5,38.1247,37.1804,36.2686
35,37.5961,36.8258,36.0755
35.5,37.1066,36.4773,35.861
36,36.6501,36.1353,35.6296
36.5,36.2215,35.8,35.3855
37,35.8168,35.4714,35.1319
37.5,35.4327,35.1496,34.8716
38,35.0666,34.8344,34.6069
38.5,34.7163,34.5257,34.3397
39,34.3799,34.2235,34.0714
39.5,34.056,33.9275,33.8032
40,33.7433,33.6377,33.5362
40.5,33.4407,33.3539,33.2711
41,33.1475,33.076,33.0085
41.5,32.8628,32.8039,32.7489
42,32.5861,32.5374,32.4928
42.5,32.3167,32.2765,32.2403
43,32.0543,32.0211,31.9917
43.5,31.7985,31.7709,31.7472
44,31.5489,31.526,31.5069
44.5,31.3053,31.2862,31.2709
45,31.0673,31.0514,31.0391
45.5,30.8348,30.8214,30.8117
46,30.6076,30.5963,30.5886
46.5,30.3854,30.3758,30.3699
47,30.1681,30.1599,30.1554
47.5,29.9555,29.9485,29.9451
48,29.7476,29.7415,29.7391
48.5,29.5442,29.5389,29.5372
49,29.3451,29.3404,29.3393
49.5,29.1502,29.1461,29.1455
50,28.9595,28.9558,28.9557
50.5,28.7728,28.7695,28.7697
51,28.5901,28.5871,28.5875
51.5,28.4112,28.4085,28.4091
52,28.2361,28.2336,28.2344
52.5,28.0647,28.0623,28.0633
53,27.8969,27.8946,27.8957
53.5,27.7325,27.7304,27.7316
54,27.5716,27.5696,27.5709
54.5,27.4141,27.4121,27.4135
55,27.2599,27.258,27.2594
55.5,27.1089,27.107,27.1085
56,26.961,26.9592,26.9607
56.5,26.8163,26.8145,26.816
57,26.6745,26.6728,26.6743
57.5,26.5357,26.534,26.5355
58,26.3998,26.3981,26.3996
58.5,26.2667,26.2651,26.2666
59,26.1364,26.1348,26.1363
59.5,26.0088,26.0072,26.0088
60,25.8839,25.8823,25.8839
60.5,30.0502,25.8826,25.7685
61,32.0294,26.0366,25.6766
61.5,33.4538,26.3072,25.6222
62,34.5973,26.6495,25.6148
62.5,35.5636,27.0303,25.6579
63,36.4054,27.4291,25.7499
63.5,37.1538,27.834,25.8864
64,37.8291,28.2385,26.0613
64.5,38.4458,28.639,26.2683
65,39.0145,29.0336,26.5014
65.5,39.543,29.4213,26.7551
66,40.0379,29.8016,27.0248
66.5,40.5041,30.1745,27.3065
67,40.9455,30.5398,27.5969
67.5,41.3656,30.8976,27.8932
68,41.767,31.248,28.1931
68.5,42.1518,31.5912,28.4949
69,42.522,31.9273,28.797
69.5,42.879,32.2564,29.0982
70,43.2241,32.5786,29.3976
70.5,43.5584,32.8941,29.6945
71,43.8827,33.2031,29.9881
71.5,44.1978,33.5056,30.2781
72,44.5044,33.8018,30.564
72.5,44.8029,34.0919,30.8457
73,45.0938,34.3759,31.1228
73.5,45.3776,34.654,31.3953
74,45.6545,34.9263,31.663
74.5,45.925,35.1929,31.9258
75,46.1892,35.454,32.1838
75.5,46.4474,35.7097,32.4369
76,46.6999,35.96,32.6852
76.5,46.9467,36.2051,32.9286
77,47.1881,36.4451,33.1672
77.5,47.4243,36.6802,33.4011
78,47.6554,36.9103,33.6303
78.5,47.8815,37.1356,33.8549
79,48.1028,37.3562,34.0749
79.5,48.3193,37.5723,34.2904
80,48.5313,37.7838,34.5016
80.5,48.7388,37.991,34.7084
81,48.9419,38.1938,34.9109
