x,Sol_ap,Sol_exact
0,50.7003,50.6964
8e-06,50.6942,50.6903
1.6e-05,50.6881,50.6842
2.4e-05,50.682,50.6781
3.2e-05,50.6759,50.672
4e-05,50.6698,50.6659
4.8e-05,50.6637,50.6598
5.6e-05,50.6576,50.6537
6.4e-05,50.6515,50.6477
7.2e-05,50.6454,50.6416
8e-05,50.6394,50.6355
8.8e-05,50.6333,50.6294
9.6e-05,50.6272,50.6233
0.000104,50.6211,50.6172
0.000112,50.615,50.6112
0.00012,50.609,50.6051
0.000128,50.6029,50.599
0.000136,50.5968,50.5929
0.000144,50.5907,50.5869
0.000152,50.5846,50.5808
0.00016,50.5786,50.5747
0.000168,50.5725,50.5686
0.000176,50.5664,50.5626
0.000184,50.5604,50.5565
0.000192,50.5543,50.5504
0.0002,50.5482,50.5444
0.000208,50.5422,50.5383
0.000216,50.5361,50.5322
0.000224,50.53,50.5262
0.000232,50.524,50.5201
0.00024,50.5179,50.5141
0.000248,50.5119,50.508
0.000256,50.5058,50.5019
0.000264,50.4997,50.4959
0.000272,50.4937,50.4898
0.00028,50.4876,50.4838
0.000288,50.4816,50.4777
0.000296,50.4755,50.4717
0.000304,50.4695,50.4656
0.000312,50.4634,50.4596
0.00032,50.4574,50.4535
0.000328,50.4513,50.4475
0.000336,50.4453,50.4414
0.000344,50.4393,50.4354
0.000352,50.4332,50.4294
0.00036,50.4272,50.4233
0.000368,50.4211,50.4173
0.000376,50.4151,50.4112
0.000384,50.4091,50.4052
0.000392,50.403,50.3992
0.0004,50.397,50.3931
0.000408,50.3909,50.3871
0.000416,50.3849,50.3811
0.000424,50.3789,50.375
0.000432,50.3729,50.369
0.00044,50.3668,50.363
0.000448,50.3608,50.357
0.000456,50.3548,50.3509
0.000464,50.3488,50.3449
0.000472,50.3427,50.3389
0.00048,50.3367,50.3329
0.000488,50.3307,50.3268
0.000496,50.3247,50.3208
0.000504,50.3187,50.3148
0.000512,50.3126,50.3088
0.00052,50.3066,50.3028
0.000528,50.3006,50.2968
0.000536,50.2946,50.2908
0.000544,50.2886,50.2847
0.000552,50.2826,50.2787
0.00056,50.2766,50.2727
0.000568,50.2706,50.2667
0.000576,50.2645,50.2607
0.000584,50.2585,50.2547
0.000592,50.2525,50.2487
0.0006,50.2465,50.2427
0.000608,50.2405,50.2367
0.000616,50.2345,50.2307
0.000624,50.2285,50.2247
0.000632,50.2225,50.2187
0.00064,50.2165,50.2127
0.000648,50.2105,50.2067
0.000656,50.2046,50.2007
0.000664,50.1986,50.1947
0.000672,50.1926,50.1887
0.00068,50.1866,50.1828
0.000688,50.1806,50.1768
0.000696,50.1746,50.1708
0.000704,50.1686,50.1648
0.000712,50.1626,50.1588
0.00072,50.1567,50.1528
0.000728,50.1507,50.1468
0.000736,50.1447,50.1409
0.000744,50.1387,50.1349
0.000752,50.1327,50.1289
0.00076,50.1268,50.1229
0.000768,50.1208,50.117
0.000776,50.1148,50.111
0.000784,50.1088,50.105
0.000792,50.1029,50.099
0.0008,50.0969,50.0931
0.000808,50.0909,50.0871
0.000816,50.0849,50.0811
0.000824,50.079,50.0752
0.000832,50.073,50.0692
0.00084,50.0671,50.0632
0.000848,50.0611,50.0573
0.000856,50.0551,50.0513
0.000864,50.0492,50.0454
0.000872,50.0432,50.0394
0.00088,50.0372,50.0334
0.000888,50.0313,50.0275
0.000896,50.0253,50.0215
0.000904,50.0194,50.0156
0.000912,50.0134,50.0096
0.00092,50.0075,50.0037
0.000928,50.0015,49.9977
0.000936,49.9956,49.9918
0.000944,49.9896,49.9858
0.000952,49.9837,49.9799
0.00096,49.9777,49.9739
0.000968,49.9718,49.968
0.000976,49.9659,49.962
0.000984,49.9599,49.9561
0.000992,49.954,49.9502
0.001,49.948,49.9442
0.001008,49.9421,49.9383
0.001016,49.9362,49.9324
0.001024,49.9302,49.9264
0.001032,49.9243,49.9205
0.00104,49.9184,49.9146
0.001048,49.9124,49.9086
0.001056,49.9065,49.9027
0.001064,49.9006,49.8968
0.001072,49.8946,49.8908
0.00108,49.8887,49.8849
0.001088,49.8828,49.879
0.001096,49.8769,49.8731
0.001104,49.8709,49.8671
0.001112,49.865,49.8612
0.00112,49.8591,49.8553
0.001128,49.8532,49.8494
0.001136,49.8473,49.8435
0.001144,49.8413,49.8376
0.001152,49.8354,49.8316
0.00116,49.8295,49.8257
0.001168,49.8236,49.8198
0.001176,49.8177,49.8139
0.001184,49.8118,49.808
0.001192,49.8059,49.8021
0.0012,49.8,49.7962
0.001208,49.7941,49.7903
0.001216,49.7882,49.7844
0.001224,49.7822,49.7785
0.001232,49.7763,49.7726
0.00124,49.7704,49.7667
0.001248,49.7645,49.7608
0.001256,49.7586,49.7549
0.001264,49.7527,49.749
0.001272,49.7469,49.7431
0.00128,49.741,49.7372
0.001288,49.7351,49.7313
0.001296,49.7292,49.7254
0.001304,49.7233,49.7195
0.001312,49.7174,49.7136
0.00132,49.7115,49.7077
0.001328,49.7056,49.7018
0.001336,49.6997,49.696
0.001344,49.6938,49.6901
0.001352,49.688,49.6842
0.00136,49.6821,49.6783
0.001368,49.6762,49.6724
0.001376,49.6703,49.6665
0.001384,49.6644,49.6607
0.001392,49.6586,49.6548
0.0014,49.6527,49.6489
0.001408,49.6468,49.643
0.001416,49.6409,49.6372
0.001424,49.6351,49.6313
0.001432,49.6292,49.6254
0.00144,49.6233,49.6196
0.001448,49.6174,49.6137
0.001456,49.6116,49.6078
0.001464,49.6057,49.602
0.001472,49.5998,49.5961
0.00148,49.594,49.5902
0.001488,49.5881,49.5844
0.001496,49.5823,49.5785
0.001504,49.5764,49.5726
0.001512,49.5705,49.5668
0.00152,49.5647,49.5609
0.001528,49.5588,49.5551
0.001536,49.553,49.5492
0.001544,49.5471,49.5434
0.001552,49.5413,49.5375
0.00156,49.5354,49.5317
0.001568,49.5296,49.5258
0.001576,49.5237,49.52
0.001584,49.5179,49.5141
0.001592,49.512,49.5083
0.0016,49.5062,49.5024
0.001608,49.5003,49.4966
0.001616,49.4945,49.4907
0.001624,49.4887,49.4849
0.001632,49.4828,49.4791
0.00164,49.477,49.4732
0.001648,49.4711,49.4674
